DATE,IPG2211A2N
1/1/1994,94.4017
2/1/1994,87.4053
3/1/1994,79.4751
4/1/1994,71.1817
5/1/1994,69.5934
6/1/1994,78.1988
7/1/1994,83.5287
8/1/1994,82.1321
9/1/1994,75.9181
10/1/1994,71.4802
11/1/1994,75.4754
12/1/1994,85.0772
1/1/1995,92.7412
2/1/1995,87.667
3/1/1995,81.5205
4/1/1995,74.0457
5/1/1995,73.5003
6/1/1995,78.5503
7/1/1995,86.2425
8/1/1995,89.8063
9/1/1995,78.7442
10/1/1995,73.9353
11/1/1995,79.8903
12/1/1995,91.0933
1/1/1996,99.2688
2/1/1996,93.1691
3/1/1996,87.2075
4/1/1996,77.4715
5/1/1996,76.9337
6/1/1996,82.1958
7/1/1996,86.2321
8/1/1996,86.824
9/1/1996,79.4425
10/1/1996,74.911
11/1/1996,81.3
12/1/1996,90.753
1/1/1997,98.7482
2/1/1997,90.0486
3/1/1997,83.2671
4/1/1997,76.3793
5/1/1997,74.0777
6/1/1997,80.0138
7/1/1997,88.7168
8/1/1997,88.0487
9/1/1997,82.1801
10/1/1997,77.7266
11/1/1997,82.2802
12/1/1997,92.3623
1/1/1998,95.0701
2/1/1998,88.0838
3/1/1998,86.8125
4/1/1998,76.9828
5/1/1998,78.2652
6/1/1998,86.7123
7/1/1998,94.1078
8/1/1998,93.7954
9/1/1998,87.7915
10/1/1998,80.3296
11/1/1998,81.6742
12/1/1998,91.9551
1/1/1999,102.4467
2/1/1999,91.4671
3/1/1999,91.0236
4/1/1999,80.7497
5/1/1999,79.6373
6/1/1999,88.1204
7/1/1999,97.7757
8/1/1999,96.7014
9/1/1999,87.4885
10/1/1999,80.8647
11/1/1999,82.4395
12/1/1999,94.7746
1/1/2000,102.4971
2/1/2000,94.5218
3/1/2000,88.3463
4/1/2000,81.6662
5/1/2000,84.7235
6/1/2000,91.3293
7/1/2000,96.3011
8/1/2000,99.6734
9/1/2000,90.9515
10/1/2000,83.378
11/1/2000,88.2458
12/1/2000,102.6901
1/1/2001,109.3416
2/1/2001,97.3953
3/1/2001,93.0564
4/1/2001,83.1332
5/1/2001,82.7827
6/1/2001,90.6648
7/1/2001,96.3283
8/1/2001,99.8132
9/1/2001,88.5136
10/1/2001,82.9006
11/1/2001,83.1461
12/1/2001,93.2796
1/1/2002,103.2604
2/1/2002,95.4593
3/1/2002,93.51
4/1/2002,86.0517
5/1/2002,85.5043
6/1/2002,93.4856
7/1/2002,102.6936
8/1/2002,101.9121
9/1/2002,93.5608
10/1/2002,87.1293
11/1/2002,88.8047
12/1/2002,101.0439
1/1/2003,110.4292
2/1/2003,104.0828
3/1/2003,94.8015
4/1/2003,85.3124
5/1/2003,85.7418
6/1/2003,91.3695
7/1/2003,102.5243
8/1/2003,104.7716
9/1/2003,93.1841
10/1/2003,86.7534
11/1/2003,88.828
12/1/2003,103.8162
1/1/2004,113.996
2/1/2004,106.4378
3/1/2004,95.6626
4/1/2004,86.9849
5/1/2004,89.324
6/1/2004,95.8104
7/1/2004,102.1007
8/1/2004,100.4992
9/1/2004,94.2998
10/1/2004,87.7732
11/1/2004,89.8297
12/1/2004,105.9787
1/1/2005,111.4496
2/1/2005,101.9498
3/1/2005,99.2324
4/1/2005,86.6793
5/1/2005,87.3784
6/1/2005,99.7382
7/1/2005,108.8005
8/1/2005,109.9901
9/1/2005,99.5563
10/1/2005,90.1695
11/1/2005,90.6297
12/1/2005,108.4977
1/1/2006,104.8128
2/1/2006,101.631
3/1/2006,98.6932
4/1/2006,87.7035
5/1/2006,90.2388
6/1/2006,100.7836
7/1/2006,111.3696
8/1/2006,111.9898
9/1/2006,96.1212
10/1/2006,90.6869
11/1/2006,92.5922
12/1/2006,103.3658
1/1/2007,112.3854
2/1/2007,112.1298
3/1/2007,99.4689
4/1/2007,91.045
5/1/2007,92.3001
6/1/2007,101.2636
7/1/2007,107.9356
8/1/2007,114.5031
9/1/2007,101.8592
10/1/2007,93.282
11/1/2007,94.1475
12/1/2007,107.0407
1/1/2008,115.1667
2/1/2008,108.5191
3/1/2008,100.7094
4/1/2008,91.2095
5/1/2008,91.4432
6/1/2008,104.1756
7/1/2008,111.08
8/1/2008,107.8943
9/1/2008,98.0097
10/1/2008,91.2396
11/1/2008,94.032
12/1/2008,109.6582
1/1/2009,117.1039
2/1/2009,104.6583
3/1/2009,98.0042
4/1/2009,88.3216
5/1/2009,87.7292
6/1/2009,97.5534
7/1/2009,104.1672
8/1/2009,106.0048
9/1/2009,95.0943
10/1/2009,89.3813
11/1/2009,89.4578
12/1/2009,110.8781
1/1/2010,119.2479
2/1/2010,110.7531
3/1/2010,98.3435
4/1/2010,86.2616
5/1/2010,90.8463
6/1/2010,104.4778
7/1/2010,113.1387
8/1/2010,113.255
9/1/2010,100.3369
10/1/2010,89.0647
11/1/2010,92.8335
12/1/2010,114.5353
1/1/2011,119.7459
2/1/2011,107.4949
3/1/2011,99.1833
4/1/2011,89.3555
5/1/2011,90.0892
6/1/2011,102.9264
7/1/2011,114.9321
8/1/2011,113.7652
9/1/2011,99.5831
10/1/2011,90.3256
11/1/2011,93.7509
12/1/2011,107.3344
1/1/2012,111.8394
2/1/2012,103.3476
3/1/2012,93.4091
4/1/2012,87.4575
5/1/2012,92.7737
6/1/2012,101.2472
7/1/2012,113.388
8/1/2012,110.1665
9/1/2012,96.899
10/1/2012,90.2566
11/1/2012,94.2046
12/1/2012,105.0109
1/1/2013,115.2199
2/1/2013,106.4386
3/1/2013,102.6576
4/1/2013,90.6033
5/1/2013,90.6912
6/1/2013,100.656
7/1/2013,110.3545
8/1/2013,108.4241
9/1/2013,99.3492
10/1/2013,91.6786
11/1/2013,97.0034
12/1/2013,113.3755
1/1/2014,124.0595
2/1/2014,112.7167
3/1/2014,104.4508
4/1/2014,89.8286
5/1/2014,91.8836
6/1/2014,101.6595
7/1/2014,108.6414
8/1/2014,108.3853
9/1/2014,100.4068
10/1/2014,92.106
11/1/2014,99.0559
12/1/2014,108.9004
1/1/2015,119.826
2/1/2015,116.0253
3/1/2015,103.9265
4/1/2015,89.0847
5/1/2015,90.6408
6/1/2015,102.848
7/1/2015,111.9672
8/1/2015,110.7762
9/1/2015,101.8409
10/1/2015,91.0676
11/1/2015,92.3563
12/1/2015,102.538
1/1/2016,117.2128
2/1/2016,106.254
3/1/2016,94.4715
4/1/2016,88.3776
5/1/2016,89.6237
6/1/2016,103.4974
7/1/2016,114.2098
8/1/2016,115.4804
9/1/2016,102.1828
10/1/2016,90.6927
11/1/2016,92.2734
12/1/2016,113.2596
1/1/2017,115.11
2/1/2017,98.79
3/1/2017,100.3838
4/1/2017,86.5178
5/1/2017,90.2272
6/1/2017,100.5536
7/1/2017,111.2244
8/1/2017,108.0286
9/1/2017,97.2464
10/1/2017,92.0177
11/1/2017,96.4756
12/1/2017,115.1165
1/1/2018,127.6767
2/1/2018,107.0054
3/1/2018,105.3385
4/1/2018,91.5833
